F1,F2,F3,F4,F5,F6,F7
1.2430000000000000e+03,"PKA","CHF",1.0000000000000000e+00,4.0000000000000000e+00,"kg",5.4000000000000000e+01
1.2450000000000000e+03,"PKA","CHF",5.0000000000000000e+00,9.0000000000000000e+00,"kg",3.4000000000000000e+01
1.2440000000000000e+03,"PKA","CHF",1.0000000000000000e+01,4.9000000000000000e+01,"kg",2.9000000000000000e+01
1.2460000000000000e+03,"PKA","CHF",5.0000000000000000e+01,9.9900000000000000e+02,"kg",2.3000000000000000e+01
1.2470000000000000e+03,"PKA","EUR",1.0000000000000000e+00,4.0000000000000000e+00,"kg",4.9000000000000000e+01
1.2490000000000000e+03,"PKA","EUR",5.0000000000000000e+00,9.0000000000000000e+00,"kg",3.1000000000000000e+01
1.2480000000000000e+03,"PKA","EUR",1.0000000000000000e+01,4.9000000000000000e+01,"kg",2.7000000000000000e+01
1.2500000000000000e+03,"PKA","EUR",5.0000000000000000e+01,9.9900000000000000e+02,"kg",2.1000000000000000e+01
1.2070000000000000e+03,"PKB","CHF",1.0000000000000000e+00,4.0000000000000000e+00,"kg",7.0000000000000000e+01
1.2090000000000000e+03,"PKB","CHF",5.0000000000000000e+00,9.0000000000000000e+00,"kg",4.3000000000000000e+01
1.2080000000000000e+03,"PKB","CHF",1.0000000000000000e+01,4.9000000000000000e+01,"kg",3.7000000000000000e+01
1.2100000000000000e+03,"PKB","CHF",5.0000000000000000e+01,9.9900000000000000e+02,"kg",3.1000000000000000e+01
1.2510000000000000e+03,"PKB","EUR",1.0000000000000000e+00,4.0000000000000000e+00,"kg",6.4000000000000000e+01
1.2530000000000000e+03,"PKB","EUR",5.0000000000000000e+00,9.0000000000000000e+00,"kg",3.9000000000000000e+01
1.2520000000000000e+03,"PKB","EUR",1.0000000000000000e+01,4.9000000000000000e+01,"kg",3.4000000000000000e+01
1.2540000000000000e+03,"PKB","EUR",5.0000000000000000e+01,9.9900000000000000e+02,"kg",2.8000000000000000e+01
1.2110000000000000e+03,"PKC","CHF",1.0000000000000000e+00,4.0000000000000000e+00,"kg",1.0500000000000000e+02
1.2130000000000000e+03,"PKC","CHF",5.0000000000000000e+00,9.0000000000000000e+00,"kg",6.2000000000000000e+01
1.2120000000000000e+03,"PKC","CHF",1.0000000000000000e+01,4.9000000000000000e+01,"kg",5.4000000000000000e+01
1.2140000000000000e+03,"PKC","CHF",5.0000000000000000e+01,9.9900000000000000e+02,"kg",4.4000000000000000e+01
1.2550000000000000e+03,"PKC","EUR",1.0000000000000000e+00,4.0000000000000000e+00,"kg",9.6000000000000000e+01
1.2570000000000000e+03,"PKC","EUR",5.0000000000000000e+00,9.0000000000000000e+00,"kg",5.7000000000000000e+01
1.2560000000000000e+03,"PKC","EUR",1.0000000000000000e+01,4.9000000000000000e+01,"kg",4.9000000000000000e+01
1.2580000000000000e+03,"PKC","EUR",5.0000000000000000e+01,9.9900000000000000e+02,"kg",4.0000000000000000e+01
1.2160000000000000e+03,"PKD","CHF",1.0000000000000000e+00,4.0000000000000000e+00,"kg",1.2300000000000000e+02
1.2180000000000000e+03,"PKD","CHF",5.0000000000000000e+00,9.0000000000000000e+00,"kg",7.2000000000000000e+01
1.2170000000000000e+03,"PKD","CHF",1.0000000000000000e+01,4.9000000000000000e+01,"kg",6.3000000000000000e+01
1.2190000000000000e+03,"PKD","CHF",5.0000000000000000e+01,9.9900000000000000e+02,"kg",5.3000000000000000e+01
1.2590000000000000e+03,"PKD","EUR",1.0000000000000000e+00,4.0000000000000000e+00,"kg",1.1200000000000000e+02
1.2610000000000000e+03,"PKD","EUR",5.0000000000000000e+00,9.0000000000000000e+00,"kg",6.6000000000000000e+01
1.2600000000000000e+03,"PKD","EUR",1.0000000000000000e+01,4.9000000000000000e+01,"kg",5.8000000000000000e+01
1.2620000000000000e+03,"PKD","EUR",5.0000000000000000e+01,9.9900000000000000e+02,"kg",4.8000000000000000e+01
1.2200000000000000e+03,"PKF","CHF",1.0000000000000000e+00,4.0000000000000000e+00,"kg",1.7000000000000000e+02
1.2220000000000000e+03,"PKF","CHF",5.0000000000000000e+00,9.0000000000000000e+00,"kg",9.9000000000000000e+01
1.2210000000000000e+03,"PKF","CHF",1.0000000000000000e+01,4.9000000000000000e+01,"kg",8.9000000000000000e+01
1.2230000000000000e+03,"PKF","CHF",5.0000000000000000e+01,9.9900000000000000e+02,"kg",7.2000000000000000e+01
1.2630000000000000e+03,"PKF","EUR",1.0000000000000000e+00,4.0000000000000000e+00,"kg",1.5500000000000000e+02
1.2650000000000000e+03,"PKF","EUR",5.0000000000000000e+00,9.0000000000000000e+00,"kg",9.0000000000000000e+01
1.2640000000000000e+03,"PKF","EUR",1.0000000000000000e+01,4.9000000000000000e+01,"kg",8.1000000000000000e+01
1.2660000000000000e+03,"PKF","EUR",5.0000000000000000e+01,9.9900000000000000e+02,"kg",6.6000000000000000e+01
