pkAddress,addressStreet,addressTown,addressStreet2,addressHouseNumber,addressPoBox,addressZip,addressCountry,addressGeoDataLongitude,addressGeoDataLatitude,fkRegion,fkCountry
1,"Vogelsangstraße","Dettingen",,"30",,"72581","Deutschland","9.339507","48.527938",,2
2,"Grossbruggerweg","Chur",,"3",,"7000","Schweiz","9.50786","46.85757",,4
3,"Schaffhauserstrasse","Winterthur",,"84",,"8400","Schweiz","8.72138","47.51461",4,4
5,"Obere Bodenbergstrasse","Weggis",,"15",,"6353","Schweiz","8.451634","47.031656",,4
7,"Rosenbergstrasse","Wädenswil",,"9",,"8820","Schweiz","8.66904","47.22921",,4
8,"Grubenstrasse","Zürich",,"39",,"8045","Schweiz","8.51307","47.36128",1,4
11,"Zollernstrasse","Konstanz",,"29",,"78462","Deutschland","9.17550","47.66215",,2
12,"Hauptstrasse","Unterseen",,"5",,"3800","Schweiz","7.84948","46.68592",,4
14,"Kirchheimer Straße","Holzmaden",,"43",,"73271","Deutschland","9.51192","48.63523",,2
17,"Rudolf Diesel-Strasse","Winterthur",,"5",,"8405","Schweiz","8.754537","47.495356",4,4
21,"Bongertstrasse","Grabs",,"5",,"9472","Schweiz","9.44405","47.17347",,4
23,"Pariser Straße","Berlin",,"51",,"10719","Deutschland","13.32511","52.49650",,2
25,"Moosweg","Gwatt (Thun)",,"22",,"3645","Schweiz","7.61669","46.72468",,4
26,"Stöcken","Solingen",,"24",,"42651","Deutschland","7.10004","51.18586",,2
27,"Merkelstraße","Esslingen a. N.",,"8",,"73728","Deutschland","9.30990","48.73610",,2
28,"Tannenstrasse","Wertheim",,"11",,"97877","Deutschland","9.50133","49.71164",,2
30,"Monbielerstrasse","Klosters",,"212",,"7250","Schweiz","9.921601","46.860948",,4
31,"Aubrigstrasse","Jona",,"14",,"8645","Schweiz","8.83844","47.23100",,4
33,"Eichendorffstraße","Asslar",,"25",,"35614","Deutschland","8.47537","50.58509",,2
38,"Römerstrasse","Winterthur",,"44a",,"8400","Schweiz","8.74253","47.50086",4,4
39,"Grasweg","Kiel",,"39",,"24118","Deutschland","10.11738","54.33809",,2
42,"Hermannstrasse","Weinfelden",,"8",,"8570","Schweiz","9.10536","47.56824",,4
44,"Chopinstraße","Stuttgart",,"14",,"70195","Deutschland","9.11814","48.78022",5,2
47,"Schwalbenstrasse","Wetzikon",,"95",,"8623","Schweiz","8.81810","47.32795",,4
77,"Ascherstrasse","Schrobenhausen",,"18",,"86529","Deutschland","11.27810","48.54961",,2
80,"Dammstrasse ","Fislisbach",,"9",,"5442","Schweiz","8.28482","47.43912",,4
81,"Imhofstrasse","München",,"18",,"80805","Deutschland","11.59874","48.16797",9,2
85,"Gustav-Rau-Straße","Bietigheim-Bissingen",,"8/1",,"74321","Deutschland","9.14853","48.94882",,2
88,"Kölner Straße","Stuttgart",,"36",,"70376","Deutschland","9.20319","48.82035",5,2
92,"Regensbergstrasse","Zürich",,"59",,"8050","Schweiz","8.55165","47.40511",1,4
93,"Schützenweg","Bern",,"22",,"3014","Schweiz","7.450545","46.959289",,4
96,"Segantinistrasse","Chur",,"2",,"7000","Schweiz","9.52268","46.85379",,4
97,"St.-Jakob-Strasse","St. Gallen",,"56a",,"9000","Schweiz","9.38121","47.43080",6,4
719,"Herrenmattestrasse","Wimmis",,"2",,"3752","Schweiz","7.6338914","46.6763231",,
98,"Walgaustrasse","Ludesch",,"90",,"6713","Österreich","9.77773","47.18620",,3
100,"Dorfstrasse","Richterswil",,"46",,"8805","Schweiz","8.705027","47.2076573",,4
101,"Robänkli","Aathal-Seegräben",,"14",,"8607","Schweiz","8.76380","47.33076",,4
106,"Blümlisalpstrasse","Heimberg",,"22",,"3627","Schweiz","7.607328","46.782463",,4
108,"Hindenburgstraße","Oelde",,"4",,"59302","Deutschland","8.138535","51.822505",,2
109,"Beginenstraße","Bensheim",,"20",,"64625","Deutschland","8.61185","49.68784",,2
110,"Neuwiesenstrasse","Uster",,"9a",,"8610","Schweiz","8.72179","47.34987",,4
111,"Wesemlinstrasse","Luzern",,"55",,"6006","Schweiz","8.31526","47.06302",10,4
113,"Feldkircherstrasse","Frastanz",,"45",,"6820","Österreich","9.63115","47.21715",,3
114,"Maybachstraße","Gerlingen",,"7",,"70839","Deutschland","9.07039","48.80405",,2
